id,nom_ent,cve_ent
1,Aguascalientes,1
2,Baja California,2
3,Baja California Sur,3
4,Campeche,4
5,Coahuila de Zaragoza,5
6,Colima,6
7,Chiapas,7
8,Chihuahua,8
9,Ciudad de México,9
10,Durango,10
11,Guanajuato,11
12,Guerrero,12
13,Hidalgo,13
14,Jalisco,14
15,México,15
16,Michoacán de Ocampo,16
17,Morelos,17
18,Nayarit,18
19,Nuevo León,19
20,Oaxaca,20
21,Puebla,21
22,Querétaro,22
23,Quintana Roo,23
24,San Luis Potosí,24
25,Sinaloa,25
26,Sonora,26
27,Tabasco,27
28,Tamaulipas,28
29,Tlaxcala,29
30,Veracruz de Ignacio de la Llave,30
31,Yucatán,31
32,Zacatecas,32
